Picture,Common Name,Scientific Name,Family,Last Seen,Random Comments,location
![](birdspics/brant_2401.JPG),Brant 黑雁 ![](pixelart/brant_s.png),*branta bernicla*,Waterfowl,"June '25, Malibu CA",can be identified by white neckline,US
![](birdspics/canadian_goose_2501.JPG),Canada Goose 加拿大雁 ![](pixelart/canadagoose_s.png),*branta canadensis*,Waterfowl,"Oct '25, West Lafayette IN",countless of them in blackwater NWR in January,US
![](birdspics/bar_headed_goose_1912.jpg),Bar-headed Goose 斑头雁 ![](pixelart/barheadedgoose_s.png),*anser indicus*,Waterfowl,"Dec '19, Lhasa Tibet",Seen with ruddy shelduck in the pond behind Potala palace,CN
![](birdspics/ruddy_shelduck_1912.jpg),Ruddy Shelduck 赤麻鸭 ![](pixelart/ruddyshelduck_s.png),*tadorna ferruginea*,Waterfowl,"Dec '19, Lhasa Tibet",NA,CN
![](birdspics/black_swan_juv_2302.jpg),Black Swan 黑天鹅 ![](pixelart/blackswan_s.png),*cygnus atratus*,Waterfowl,"Feb '23, Suzhou Jiangsu",juvenile + escaped species,CN
![](birdspics/whistling_swan_2501.JPG),Tundra Swan 小天鹅 ![](pixelart/tundraswan_s.png),*cygnus columbianus*,Waterfowl,"Jan '25, Cambridge MD",small part of yellow on bills,US
![](birdspics/mute_swan_1607.jpg),Mute Swan 疣鼻天鹅 ![](pixelart/muteswan_s.png),*cygnus olor*,Waterfowl,"July '16, Luzern Swiss",NA,EU
![](birdspics/mallard_2501.jpeg),Mallard 绿头鸭 ![](pixelart/mallard_s.png),*anas platyrhynchos*,Waterfowl,"Oct '25, West Lafayette IN",sometimes mixed with domestic ducks,"US, CN"
![](birdspics/common_teal_2512.jpg),Common Teal 绿翅鸭,*anas crecca*,Waterfowl,"Dec '25, Suzhou Jiangsu","small duck, standing alone in the paddy fields",CN
,Eastern Spot-billed Duck 斑嘴鸭,*anas zonorhyncha*,Waterfowl,"Jan '26, Suzhou Jiangsu",most common duck in Suzhou,CN
![](birdspics/gadwall_2506.jpg),Gadwall 赤膀鸭 ![](pixelart/gadwall_s.png),*mareca strepera*,Waterfowl,"June '25, Malibu CA",NA,US
![](birdspics/tufted_duck_2512.jpg),Tufted Duck 凤头潜鸭,*aythya fuligula*,Waterfowl,"Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/mandarin_duck_juv_2306.JPG),Mandarin Duck 鸳鸯 ![](pixelart/mandarinduck_s.png),*aix galericulata*,Waterfowl,"July '25, Beijing","juvenile, identified by dotted webbings",CN
![](birdspics/red_breasted_merganser_2506.jpg),Red-breasted Merganser 红胸秋沙鸭 ![](pixelart/redbreastedmerganser_s.png),*mergus serrator*,Waterfowl,"June '25, Malibu CA",NA,US
![](birdspics/hooded_merganser_2501.JPG),Hooded Merganser 棕胁秋沙鸭 ![](pixelart/hoodedmerganser_s.png),*lophydytes cucullatus*,Waterfowl,"Jan '25, Cambridge MD",go around in couples,US
![](birdspics/great_cormorant_1907.jpg),Great Cormorant 普通鸬鹚 ![](pixelart/greatcormorant_s.png),*phalacrocorax carbo*,Cormorants and Anhingas,"Dec '25, Suzhou Jiangsu",NA,"JP, CN"
![](birdspics/double_crested_cormorant_2310.JPG),Double-crested Cormorant 角鸬鹚 ![](pixelart/doublecrestedcormorant_s.png),*nannopterum auritum*,Cormorants and Anhingas,"Oct '25, West Lafayette IN",flying across inner harbor,US
![](birdspics/little_grebe_2507.JPG),Little Grebe 小䴙䴘 ![](pixelart/littlegrebe_s.png),*tachybaptus ruficollis*,Grebes,"Dec '25, Suzhou Jiangsu",called 'little PT' in Chinese birding community - too hard to write,CN
![](birdspics/great_crested_grebe_2508.JPG),Great Crested Grebe 凤头䴙䴘 ![](pixelart/greatcrestedgrebe_s.png),*podiceps cristatus*,Grebes,"Dec '25, Suzhou Jiangsu",NA,CN
NA,Tufted Puffin 花魁鸟 ![](pixelart/tuftedpuffin_s.png),*fratercula cirrhata*,Alcids,"July '24, Cannon Beach OR",NA,US
![](birdspics/common_murre_2407.JPG),Common Murre 崖海鸦 ![](pixelart/commonmurre_s.png),*uria aalge*,Alcids,"July '24, Cannon Beach OR",NA,US
![](birdspics/american_white_pelican_2504.jpeg),American White Pelican 美洲鹈鹕 ![](pixelart/americanwhitepelican_s.png),*pelecanus erythrorhynchos*,Pelicans,"Apr '25, West Lafayette IN",NA,US
![](birdspics/brown_pelican_2506.JPG),Brown Pelican 褐鹈鹕 ![](pixelart/brownpelican_s.png),*pelecanus occidentalis*,Pelicans,"June '25, Malibu CA",NA,US
![](birdspics/laughing_gull_2310.JPG),Laughing Gull 笑鸥  ![](pixelart/laughinggull_s.png),*leucophaeus atricilla*,"Gulls, Terns, Skimmers","Oct '23, Baltimore MD",winter coat,US
![](birdspics/black_headed_gull_2512.JPG),Black-headed Gull 红嘴鸥,*chroicocephalus ridibundus*,"Gulls, Terns, Skimmers","Dec '25, Suzhou Jiangsu","winter coat. Many flew to Taihu Lake (Wuxi, Suzhou) recently",CN
![](birdspics/vega_gull_2512.jpg),Vega Gull 蒙古银鸥,*larus mongolicus*,"Gulls, Terns, Skimmers","Dec '25, Suzhou Jiangsu",winter coat,CN
![](birdspics/yellow_legged_gull_1607.jpg),Yellow-legged Gull 黄腿银鸥  ![](pixelart/yellowleggedgull_s.png),*larus michahellis*,"Gulls, Terns, Skimmers","July '16, Venice Italy",NA,EU
![](birdspics/american_herring_gull_2401.JPG),American Herring Gull 美洲银鸥  ![](pixelart/americanherringgull_s.png),*larus smithsonianus*,"Gulls, Terns, Skimmers","Jan '24, New York NY",winter coat,US
![](birdspics/black_tailed_gull_2507.jpg),Black-tailed Gull 黑尾鸥 ![](pixelart/blacktailedgull_s.png),*larus crassirostris*,"Gulls, Terns, Skimmers","July '25, Yantai Shandong",the only gull that stays in Jiaodong Penninsula in summer,CN
![](birdspics/ring_billed_gull_2503.JPG),Ring-billed Gull 环嘴鸥 ![](pixelart/ringbilledgull_s.png),*larus delawarensis*,"Gulls, Terns, Skimmers","May '25, Baltimore MD",NA,US
![](birdspics/california_gull_2407.JPG),California Gull 加州鸥  ![](pixelart/californiagull_s.png),*larus californicus*,"Gulls, Terns, Skimmers","July '24, Cannon Beach OR",NA,US
![](birdspics/western_gull_2506.jpg),Western Gull 西美鸥 ![](pixelart/westerngull_s.png),*larus occidentals*,"Gulls, Terns, Skimmers","June '25, Santa Monica CA",dark grey back,US
![](birdspics/glaucous_winged_gull_2407.JPG),Glaucous-winged Gull 灰翅鸥  ![](pixelart/glaucouswingedgull_s.png),*larus glaucescens*,"Gulls, Terns, Skimmers","July '24, Seattle WA",juveniles were seen eating a starfish - sadly they failed.,US
![](birdspics/least_tern_2504.JPG),Least Tern 普通燕鸥  ![](pixelart/leasttern_s.png),*sternula antillarum*,"Gulls, Terns, Skimmers","Apr '25, Cambridge MD",fall straight from the sky to catch fishes,US
![](birdspics/caspian_tern_2407.JPG),Caspian Tern 红嘴巨燕鸥  ![](pixelart/caspiantern_s.png),*hydroprogne caspia*,"Gulls, Terns, Skimmers","July '24, Seattle WA",NA,US
![](birdspics/whiskered_tern_2507.jpg),Whiskered Tern 须浮鸥  ![](pixelart/whiskeredtern_s.png),*chlidonias hybrida*,"Gulls, Terns, Skimmers","July '25, Linyi Shandong",does not have forked tail,CN
![](birdspics/black_winged_stilt_2512.jpg),Black-winged Stilt 黑翅长脚鹬,*himantopus himantopus*,Shorebirds,"Dec '25, Suzhou Jiangsu",look like red-legged mosquitoes…,CN
![](birdspics/killdeer_2510.JPG),Killdeer 双领鸻 ![](pixelart/killdeer_s.png),*charadrius vociferus*,Shorebirds,"Oct '25, West Lafayette IN",didn't know they can also live in land,US
![](birdspics/semipalmatedplover_2504.JPG),Semipalmated Plover 半蹼鸻 ![](pixelart/semipalmatedplover_s.png),*charadrius semipalmatus*,Shorebirds,"Apr '25, Cambridge MD",NA,US
![](birdspics/lapwing_2512.JPG),Lapwing 凤头麦鸡,*vanellus vanellus*,Shorebirds,"Dec '25, Suzhou Jiangsu",only see them flying. They have beautiful iridescent feathers,CN
